title,Description,Price,Colors,Image Urls,Link
dresses,White Hand Beaded Cotton Camisole Dress,"₹3,910",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-beaded-white-camisole-dress-camisole-dress-964574_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-beaded-white-camisole-dress-camisole-dress-616585_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-beaded-white-camisole-dress-camisole-dress-939584_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-beaded-white-camisole-dress-camisole-dress-216574_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-beaded-white-camisole-dress-camisole-dress-461785_1600x.jpg",
dresses,Pink Cotton Flax Kangaroo Pocket Dress,"₹3,440","Yellow,Beige,Olive Green,Black,Navy Blue,White,Peach,Light Khakhi,Pink,Brown","cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-cotton-flax-kangaroo-pocket-dress-a-line-dress-417821_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-cotton-flax-kangaroo-pocket-dress-a-line-dress-178577_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-cotton-flax-kangaroo-pocket-dress-a-line-dress-267687_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-cotton-flax-kangaroo-pocket-dress-a-line-dress-349101_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-cotton-flax-kangaroo-pocket-dress-a-line-dress-496852_1600x.jpg",
dresses,Purple Tie Dye Tier Dress,"₹4,160","Lavender,Blue,Mint Green,Pink","cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A8403_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A8409_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A8416_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-tie-dye-tier-dress-tier-dress-497678_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-tie-dye-tier-dress-tier-dress-895378_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A8420_1600x.jpg",
dresses,Beige Block Printed Cotton Shirt Dress,"₹4,710",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/off-white-slant-pocket-shirt-dress-button-downbutton-up-dress-855873_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/off-white-slant-pocket-shirt-dress-button-downbutton-up-dress-563750_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/off-white-slant-pocket-shirt-dress-button-downbutton-up-dress-812494_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/off-white-slant-pocket-shirt-dress-button-downbutton-up-dress-625366_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/off-white-slant-pocket-shirt-dress-button-downbutton-up-dress-392646_1600x.jpg",
dresses,Pink Yarn Dyed Cotton Tier Dress,"₹3,400","Maroon,Beige,Lemon Yellow,Grey,Yellow & White,Green,Pink,Aqua","cdn.shopify.com/s/files/1/0534/2501/2925/products/relaxed-red-tiered-dress-tier-dress-537637_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/relaxed-red-tiered-dress-tier-dress-369873_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/relaxed-red-tiered-dress-tier-dress-414469_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/relaxed-red-tiered-dress-tier-dress-417471_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/relaxed-red-tiered-dress-tier-dress-285922_1600x.jpg",
dresses,Grape Wine Flannel Gathered Dress,"₹5,020","English Rose,Grape Wine,Ash Grey","cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A5901_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A5906_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A5911_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A5899_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A5907_1600x.jpg",
dresses,Natural Dyed Block Print Sleeveless Midi Dress,"₹3,880",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/button-back-bagru-slit-shift-dress-shift-dress-246539_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/button-back-bagru-slit-shift-dress-shift-dress-727833_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/button-back-bagru-slit-shift-dress-shift-dress-609186_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/button-back-bagru-slit-shift-dress-shift-dress-762026_1600x.jpg",
dresses,White Cotton Moss Flared Tier Dress,"₹5,100",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/flared-cotton-moss-white-tier-dress-tier-dress-615698_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/flared-cotton-moss-white-tier-dress-tier-dress-667834_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/flared-cotton-moss-white-tier-dress-tier-dress-778767_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/flared-cotton-moss-white-tier-dress-tier-dress-719628_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/flared-cotton-moss-white-tier-dress-tier-dress-744841_1600x.jpg",
dresses,Beige Yarn-Dyed 100% Cotton Tier Midi Dress,"₹3,400","Maroon,Beige,Lemon Yellow,Grey,Yellow & White,Green,Pink,Aqua","cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-yarn-dyed-100-cotton-tier-midi-dress-tier-dress-985532_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-yarn-dyed-100-cotton-tier-midi-dress-tier-dress-106676_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-yarn-dyed-100-cotton-tier-midi-dress-tier-dress-935764_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-yarn-dyed-100-cotton-tier-midi-dress-tier-dress-626572_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-yarn-dyed-100-cotton-tier-midi-dress-tier-dress-947333_1600x.jpg",
dresses,Light Khaki Cotton Flax Shirt Dress,"₹3,970","Green,Yellow,Brown,Black,Beige,White,Peach,Light Khakhi,Pink","cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-shirt-dress-shirt-dress-dress-396346_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-shirt-dress-shirt-dress-dress-136125_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-shirt-dress-shirt-dress-dress-294316_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-shirt-dress-shirt-dress-dress-806585_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-shirt-dress-shirt-dress-dress-445758_1600x.jpg",
